HSCode,Commodity,value,country,year
2,MEAT AND EDIBLE MEAT OFFAL.,0.18,AFGHANISTAN TIS,2018
2,MEAT AND EDIBLE MEAT OFFAL.,50.75,ALGERIA,2018
2,MEAT AND EDIBLE MEAT OFFAL.,27.31,ANGOLA,2018
2,MEAT AND EDIBLE MEAT OFFAL.,2.28,ARMENIA,2018
2,MEAT AND EDIBLE MEAT OFFAL.,0.51,AZERBAIJAN,2018
2,MEAT AND EDIBLE MEAT OFFAL.,,BAHAMAS,2018
2,MEAT AND EDIBLE MEAT OFFAL.,24.68,BAHARAIN IS,2018
2,MEAT AND EDIBLE MEAT OFFAL.,9.06,BANGLADESH PR,2018
2,MEAT AND EDIBLE MEAT OFFAL.,0.08,BENIN,2018
2,MEAT AND EDIBLE MEAT OFFAL.,5.09,BHUTAN,2018
2,MEAT AND EDIBLE MEAT OFFAL.,0,BOTSWANA,2018
2,MEAT AND EDIBLE MEAT OFFAL.,0,BRAZIL,2018
2,MEAT AND EDIBLE MEAT OFFAL.,8.42,BRUNEI,2018
2,MEAT AND EDIBLE MEAT OFFAL.,1.27,CAMBODIA,2018
2,MEAT AND EDIBLE MEAT OFFAL.,0.19,CAMEROON,2018
2,MEAT AND EDIBLE MEAT OFFAL.,0,CAYMAN IS,2018
2,MEAT AND EDIBLE MEAT OFFAL.,,CHINA P RP,2018
2,MEAT AND EDIBLE MEAT OFFAL.,4.72,COMOROS,2018
2,MEAT AND EDIBLE MEAT OFFAL.,2.83,CONGO D. REP.,2018
2,MEAT AND EDIBLE MEAT OFFAL.,11.49,CONGO P REP,2018
2,MEAT AND EDIBLE MEAT OFFAL.,0.41,COTE D' IVOIRE,2018
2,MEAT AND EDIBLE MEAT OFFAL.,,CZECH REPUBLIC,2018
2,MEAT AND EDIBLE MEAT OFFAL.,0,DENMARK,2018
2,MEAT AND EDIBLE MEAT OFFAL.,117.47,EGYPT A RP,2018
2,MEAT AND EDIBLE MEAT OFFAL.,3.59,EQUTL GUINEA,2018
2,MEAT AND EDIBLE MEAT OFFAL.,,FRANCE,2018
2,MEAT AND EDIBLE MEAT OFFAL.,16.18,GABON,2018
2,MEAT AND EDIBLE MEAT OFFAL.,0.17,GAMBIA,2018
2,MEAT AND EDIBLE MEAT OFFAL.,23.01,GEORGIA,2018
2,MEAT AND EDIBLE MEAT OFFAL.,0.01,GERMANY,2018
2,MEAT AND EDIBLE MEAT OFFAL.,0.49,GHANA,2018
2,MEAT AND EDIBLE MEAT OFFAL.,0.56,GUINEA,2018
2,MEAT AND EDIBLE MEAT OFFAL.,1.84,HONG KONG,2018
2,MEAT AND EDIBLE MEAT OFFAL.,323.32,INDONESIA,2018
2,MEAT AND EDIBLE MEAT OFFAL.,13.33,IRAN,2018
2,MEAT AND EDIBLE MEAT OFFAL.,170.45,IRAQ,2018
2,MEAT AND EDIBLE MEAT OFFAL.,,ITALY,2018
2,MEAT AND EDIBLE MEAT OFFAL.,28.81,JORDAN,2018
2,MEAT AND EDIBLE MEAT OFFAL.,0,KENYA,2018
2,MEAT AND EDIBLE MEAT OFFAL.,1.01,KOREA RP,2018
2,MEAT AND EDIBLE MEAT OFFAL.,31.36,KUWAIT,2018
2,MEAT AND EDIBLE MEAT OFFAL.,0.07,KYRGHYZSTAN,2018
2,MEAT AND EDIBLE MEAT OFFAL.,0.94,LAO PD RP,2018
2,MEAT AND EDIBLE MEAT OFFAL.,0,LATVIA,2018
2,MEAT AND EDIBLE MEAT OFFAL.,4.57,LEBANON,2018
2,MEAT AND EDIBLE MEAT OFFAL.,2.1,LIBERIA,2018
2,MEAT AND EDIBLE MEAT OFFAL.,0.05,LIBYA,2018
2,MEAT AND EDIBLE MEAT OFFAL.,0,MADAGASCAR,2018
2,MEAT AND EDIBLE MEAT OFFAL.,368.57,MALAYSIA,2018
2,MEAT AND EDIBLE MEAT OFFAL.,8.55,MALDIVES,2018
2,MEAT AND EDIBLE MEAT OFFAL.,,MALTA,2018
2,MEAT AND EDIBLE MEAT OFFAL.,11,MAURITIUS,2018
2,MEAT AND EDIBLE MEAT OFFAL.,0,MOROCCO,2018
2,MEAT AND EDIBLE MEAT OFFAL.,,MOZAMBIQUE,2018
2,MEAT AND EDIBLE MEAT OFFAL.,124.11,MYANMAR,2018
2,MEAT AND EDIBLE MEAT OFFAL.,0.71,NAMIBIA,2018
2,MEAT AND EDIBLE MEAT OFFAL.,0.3,NEPAL,2018
2,MEAT AND EDIBLE MEAT OFFAL.,,NORWAY,2018
2,MEAT AND EDIBLE MEAT OFFAL.,45.45,OMAN,2018
2,MEAT AND EDIBLE MEAT OFFAL.,8.82,PAKISTAN IR,2018
2,MEAT AND EDIBLE MEAT OFFAL.,0,PANAMA REPUBLIC,2018
2,MEAT AND EDIBLE MEAT OFFAL.,119.73,PHILIPPINES,2018
2,MEAT AND EDIBLE MEAT OFFAL.,31.7,QATAR,2018
2,MEAT AND EDIBLE MEAT OFFAL.,47.45,RUSSIA,2018
2,MEAT AND EDIBLE MEAT OFFAL.,124.75,SAUDI ARAB,2018
2,MEAT AND EDIBLE MEAT OFFAL.,11.13,SENEGAL,2018
2,MEAT AND EDIBLE MEAT OFFAL.,0.69,SEYCHELLES,2018
2,MEAT AND EDIBLE MEAT OFFAL.,0.69,SIERRA LEONE,2018
2,MEAT AND EDIBLE MEAT OFFAL.,1.07,SINGAPORE,2018
2,MEAT AND EDIBLE MEAT OFFAL.,0.07,SOUTH AFRICA,2018
2,MEAT AND EDIBLE MEAT OFFAL.,0.02,SPAIN,2018
2,MEAT AND EDIBLE MEAT OFFAL.,0.01,SRI LANKA DSR,2018
2,MEAT AND EDIBLE MEAT OFFAL.,,SYRIA,2018
2,MEAT AND EDIBLE MEAT OFFAL.,0.6,TAIWAN,2018
2,MEAT AND EDIBLE MEAT OFFAL.,,TAJIKISTAN,2018
2,MEAT AND EDIBLE MEAT OFFAL.,19.41,THAILAND,2018
2,MEAT AND EDIBLE MEAT OFFAL.,,TUNISIA,2018
2,MEAT AND EDIBLE MEAT OFFAL.,2.48,TURKEY,2018
2,MEAT AND EDIBLE MEAT OFFAL.,15.17,TURKMENISTAN,2018
2,MEAT AND EDIBLE MEAT OFFAL.,180.02,U ARAB EMTS,2018
2,MEAT AND EDIBLE MEAT OFFAL.,0,U K,2018
2,MEAT AND EDIBLE MEAT OFFAL.,0.78,U S A,2018
2,MEAT AND EDIBLE MEAT OFFAL.,0,UKRAINE,2018
2,MEAT AND EDIBLE MEAT OFFAL.,,UNSPECIFIED,2018
2,MEAT AND EDIBLE MEAT OFFAL.,0.15,UZBEKISTAN,2018
2,MEAT AND EDIBLE MEAT OFFAL.,1710.22,VIETNAM SOC REP,2018
2,MEAT AND EDIBLE MEAT OFFAL.,0.13,YEMEN REPUBLC,2018
2,MEAT AND EDIBLE MEAT OFFAL.,0.08,ZAMBIA,2018
